,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,home_turnovers_won,away_turnovers_won,Turnover,home_penalties_conceded,away_penalties_conceded,penalties_conceded,home_yellow_cards,away_yellow_cards,sin_bin
96,13.0,2022-01-08,Newcastle_Falcons,Northampton_Saints,-0.5,8.0,44.0,8.0,5.0,-3.0,13.0,14.0,-1.0,1.0,1.0,0.0
97,13.0,2022-01-08,Saracens,Gloucester_Rugby,-13.5,24.0,25.0,5.0,10.0,5.0,14.0,11.0,3.0,1.0,2.0,-1.0
98,13.0,2022-01-09,Bath_Rugby,Worcester_Warriors,-1.5,22.0,19.0,7.0,10.0,3.0,14.0,15.0,-1.0,1.0,2.0,-1.0
99,13.0,2022-01-09,Wasps,Leicester_Tigers,6.5,16.0,13.0,3.0,4.0,1.0,14.0,12.0,2.0,0.0,2.0,-2.0
100,14.0,2022-01-28,Bath_Rugby,Harlequins,13.0,21.0,17.0,5.0,8.0,3.0,8.0,15.0,-7.0,0.0,1.0,-1.0
101,14.0,2022-01-29,London_Irish,Exeter_Chiefs,-1.5,18.0,14.0,11.0,4.0,-7.0,10.0,17.0,-7.0,0.0,0.0,0.0
102,14.0,2022-01-29,Newcastle_Falcons,Gloucester_Rugby,4.5,22.0,32.0,6.0,4.0,-2.0,10.0,13.0,-3.0,,1.0,-1.0
103,14.0,2022-01-29,Worcester_Warriors,Northampton_Saints,-1.0,13.0,29.0,6.0,11.0,5.0,11.0,17.0,-6.0,1.0,,1.0
104,14.0,2022-01-30,Sale_Sharks,Leicester_Tigers,-2.5,35.0,26.0,5.0,5.0,0.0,15.0,8.0,7.0,0.0,0.0,0.0
105,14.0,2022-01-30,Wasps,Saracens,4.5,26.0,20.0,3.0,5.0,2.0,11.0,11.0,0.0,0.0,0.0,0.0
106,15.0,2022-02-04,Gloucester_Rugby,London_Irish,-6.0,24.0,7.0,12.0,8.0,-4.0,12.0,16.0,-4.0,,,0.0
107,15.0,2022-02-05,Bristol_Bears,Newcastle_Falcons,-12.5,37.0,21.0,6.0,4.0,-2.0,17.0,8.0,9.0,3.0,1.0,2.0
108,15.0,2022-02-05,Exeter_Chiefs,Wasps,1.0,26.0,27.0,6.0,1.0,-5.0,13.0,6.0,7.0,,,0.0
109,15.0,2022-02-05,Leicester_Tigers,Worcester_Warriors,-22.0,36.0,16.0,4.0,7.0,3.0,7.0,15.0,-8.0,2.0,2.0,0.0
110,15.0,2022-02-05,Saracens,Bath_Rugby,-17.5,40.0,3.0,8.0,7.0,-1.0,10.0,20.0,-10.0,,,0.0
111,15.0,2022-02-06,Harlequins,Sale_Sharks,4.5,14.0,36.0,5.0,7.0,2.0,7.0,13.0,-6.0,,,0.0
112,16.0,2022-02-11,Bristol_Bears,London_Irish,-8.0,32.0,49.0,5.0,4.0,-1.0,15.0,5.0,10.0,2.0,1.0,1.0
113,16.0,2022-02-11,Leicester_Tigers,Northampton_Saints,-9.5,35.0,20.0,7.0,6.0,-1.0,9.0,14.0,-5.0,2.0,,2.0
114,16.0,2022-02-12,Exeter_Chiefs,Gloucester_Rugby,-1.5,24.0,15.0,8.0,8.0,0.0,13.0,14.0,-1.0,1.0,1.0,0.0
115,16.0,2022-02-12,Sale_Sharks,Worcester_Warriors,-23.0,36.0,12.0,5.0,5.0,0.0,14.0,11.0,3.0,0.0,1.0,-1.0
