,Unnamed: 0,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,clean_breaks_home,clean_breaks_away,home_turnovers_conceded,away_turnovers_conceded,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,Unnamed: 18,Unnamed: 19,Unnamed: 20,sin_bin,penalties_conceded,clean_breaks,Turnover
69,,7,2022-04-03,Hurricanes,Chiefs,3.5,29.0,30.0,2.0,6.0,12.0,12.0,8.0,8.0,10.0,8.0,0.0,0.0,,,,0.0,2.0,4.0,0.0
70,,8,2022-04-08,Highlanders,Moana,-20.5,37.0,17.0,4.0,4.0,12.0,14.0,8.0,3.0,5.0,16.0,0.0,2.0,,,,-2.0,-11.0,0.0,-7.0
71,,8,2022-04-08,Force,Rebels,-7.5,21.0,22.0,6.0,3.0,13.0,12.0,2.0,6.0,13.0,9.0,1.0,2.0,,,,-1.0,4.0,-3.0,5.0
72,,8,2022-04-09,Hurricanes,Crusaders,8.5,21.0,24.0,6.0,5.0,17.0,17.0,6.0,10.0,10.0,9.0,0.0,0.0,,,,0.0,1.0,-1.0,4.0
73,,8,2022-04-09,Chiefs,Blues,-2.0,0.0,25.0,2.0,5.0,18.0,14.0,6.0,10.0,11.0,14.0,1.0,3.0,,,,-2.0,-3.0,3.0,8.0
74,,8,2022-04-09,Drua,Brumbies,16.5,12.0,33.0,3.0,6.0,17.0,16.0,6.0,9.0,10.0,9.0,1.0,0.0,,,,1.0,1.0,3.0,4.0
75,,9,2022-04-12,Hurricanes,Moana,-19.5,53.0,12.0,12.0,1.0,22.0,11.0,10.0,6.0,6.0,11.0,0.0,0.0,,,,0.0,-5.0,-11.0,7.0
76,,9,2022-04-15,Crusaders,Blues,-5.5,23.0,27.0,8.0,5.0,11.0,10.0,1.0,5.0,9.0,5.0,2.0,0.0,,,,2.0,4.0,-3.0,5.0
77,,9,2022-04-15,Rebels,Reds,9.0,32.0,36.0,2.0,7.0,12.0,14.0,3.0,5.0,6.0,11.0,0.0,1.0,,,,-1.0,-5.0,5.0,0.0
78,,9,2022-04-16,Chiefs,Moana,-28.5,45.0,12.0,8.0,5.0,14.0,14.0,4.0,10.0,10.0,8.0,0.0,1.0,,,,-1.0,2.0,-3.0,6.0
79,,9,2022-04-16,Highlanders,Hurricanes,2.5,21.0,22.0,2.0,5.0,14.0,14.0,8.0,6.0,6.0,11.0,1.0,0.0,,,,1.0,-5.0,3.0,-2.0
80,,9,2022-04-16,Force,Waratahs,3.0,24.0,41.0,6.0,6.0,9.0,13.0,6.0,8.0,12.0,12.0,1.0,2.0,,,,-1.0,0.0,0.0,-2.0
81,,10,2022-04-22,Chiefs,Waratahs,-14.5,51.0,27.0,7.0,6.0,15.0,9.0,6.0,7.0,7.0,10.0,1.0,3.0,,,,-2.0,-3.0,-1.0,7.0
82,,10,2022-04-22,Moana,Force,2.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
83,,10,2022-04-23,Blues,Drua,-29.5,35.0,18.0,2.0,5.0,17.0,10.0,6.0,6.0,12.0,12.0,1.0,0.0,,,,1.0,0.0,3.0,7.0
84,,10,2022-04-23,Hurricanes,Reds,-8.0,30.0,17.0,3.0,4.0,9.0,15.0,6.0,5.0,12.0,13.0,2.0,1.0,,,,1.0,-1.0,1.0,-7.0
85,,10,2022-04-24,Highlanders,Brumbies,0.0,17.0,28.0,2.0,3.0,13.0,13.0,4.0,5.0,13.0,14.0,0.0,0.0,,,,0.0,-1.0,1.0,1.0
86,,10,2022-04-24,Crusaders,Rebels,-30.5,42.0,17.0,13.0,1.0,17.0,17.0,3.0,10.0,14.0,11.0,0.0,0.0,,,,0.0,3.0,-12.0,7.0
87,,11,2022-04-29,Reds,Chiefs,6.0,25.0,27.0,5.0,5.0,14.0,16.0,7.0,6.0,15.0,8.0,2.0,2.0,,,,0.0,7.0,0.0,-3.0
88,,11,2022-04-29,Force,Blues,22.0,18.0,22.0,8.0,3.0,18.0,13.0,3.0,6.0,11.0,14.0,1.0,1.0,,,,0.0,-3.0,-5.0,8.0
89,,11,2022-04-30,Drua,Highlanders,9.5,24.0,27.0,3.0,3.0,18.0,10.0,4.0,5.0,5.0,7.0,0.0,0.0,,,,0.0,-2.0,0.0,9.0
90,,11,2022-04-30,Waratahs,Crusaders,19.0,24.0,21.0,6.0,1.0,7.0,14.0,6.0,4.0,16.0,9.0,1.0,3.0,,,,-2.0,7.0,-5.0,-9.0
91,,11,2022-04-30,Rebels,Moana,-7.0,26.0,22.0,2.0,5.0,14.0,17.0,6.0,8.0,12.0,12.0,1.0,0.0,,,,1.0,0.0,3.0,-1.0
92,,11,2022-05-01,Brumbies,Hurricanes,1.5,42.0,25.0,4.0,0.0,9.0,16.0,8.0,4.0,7.0,9.0,1.0,2.0,,,,-1.0,-2.0,-4.0,-11.0
93,,12,2022-05-06,Blues,Rebels,-23.0,71.0,28.0,14.0,5.0,10.0,16.0,4.0,7.0,8.0,6.0,0.0,0.0,,,,0.0,2.0,-9.0,-3.0
94,,12,2022-05-06,Reds,Highlanders,-4.0,19.0,27.0,4.0,5.0,10.0,11.0,5.0,4.0,10.0,10.0,0.0,2.0,,,,-2.0,0.0,1.0,-2.0
95,,12,2022-05-07,Moana,Waratahs,9.5,20.0,26.0,2.0,5.0,14.0,9.0,8.0,7.0,11.0,12.0,1.0,0.0,,,,1.0,-1.0,3.0,4.0
96,,12,2022-05-07,Chiefs,Brumbies,-7.5,28.0,38.0,3.0,5.0,16.0,7.0,6.0,5.0,9.0,10.0,0.0,0.0,,,,0.0,-1.0,2.0,8.0
97,,12,2022-05-07,Force,Crusaders,18.0,15.0,53.0,3.0,9.0,13.0,12.0,4.0,10.0,10.0,11.0,0.0,0.0,,,,0.0,-1.0,6.0,7.0
98,,12,2022-05-08,Hurricanes,Drua,-16.5,67.0,5.0,12.0,1.0,10.0,18.0,11.0,6.0,12.0,9.0,1.0,0.0,,,,1.0,3.0,-11.0,-13.0
99,,13,2022-05-13,Highlanders,Force,-16.5,61.0,10.0,7.0,1.0,8.0,13.0,9.0,5.0,14.0,14.0,1.0,2.0,,,,-1.0,0.0,-6.0,-9.0
100,,13,2022-05-13,Brumbies,Crusaders,7.5,26.0,37.0,5.0,4.0,16.0,9.0,3.0,7.0,10.0,11.0,0.0,0.0,,,,0.0,-1.0,-1.0,11.0
101,,13,2022-05-14,Drua,Moana,-0.5,34.0,19.0,6.0,4.0,12.0,20.0,9.0,6.0,16.0,7.0,0.0,0.0,,,,0.0,9.0,-2.0,-11.0
102,,13,2022-05-14,Blues,Reds,-19.0,53.0,26.0,11.0,4.0,9.0,14.0,4.0,3.0,10.0,11.0,0.0,0.0,,,,0.0,-1.0,-7.0,-6.0
103,,13,2022-05-14,Waratahs,Hurricanes,7.0,18.0,22.0,6.0,5.0,11.0,9.0,7.0,3.0,11.0,12.0,1.0,0.0,,,,1.0,-1.0,-1.0,-2.0
104,,13,2022-05-15,Rebels,Chiefs,15.5,30.0,33.0,6.0,5.0,5.0,12.0,3.0,0.0,10.0,12.0,1.0,1.0,,,,0.0,-2.0,-1.0,-10.0
105,,14,2022-05-20,Crusaders,Drua,-29.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
106,,14,2022-05-20,Reds,Moana,-17.5,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
107,,14,2022-05-21,Chiefs,Force,-22.5,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
108,,14,2022-05-21,Hurricanes,Rebels,-18.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
109,,14,2022-05-21,Brumbies,Blues,6.5,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
110,,14,2022-05-22,Highlanders,Waratahs,-9.5,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
111,,15,2022-12-31,Chiefs,Moana,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
112,,15,2022-12-31,Waratahs,Reds,,,,,,,,,,,,,,,,,,,,
113,,15,2022-12-31,Brumbies,Drua,,,,,,,,,,,,,,,,,,,,
114,,15,2022-12-31,Highlanders,Crusaders,,,,,,,,,,,,,,,,,,,,
115,,15,2022-12-31,Rebels,Force,,,,,,,,,,,,,,,,,,,,
116,,15,2022-12-31,Blues,Hurricanes,,,,,,,,,,,,,,,,,,,,
117,,16,2022-12-31,Chiefs,Moana,,,,,,,,,,,,,,,,,,,,
118,,16,2022-12-31,Waratahs,Reds,,,,,,,,,,,,,,,,,,,,
119,,16,2022-12-31,Brumbies,Drua,,,,,,,,,,,,,,,,,,,,
120,,16,2022-12-31,Highlanders,Crusaders,,,,,,,,,,,,,,,,,,,,
121,,16,2022-12-31,Rebels,Force,,,,,,,,,,,,,,,,,,,,
122,,16,2022-12-31,Blues,Hurricanes,,,,,,,,,,,,,,,,,,,,
123,,17,2022-12-31,Chiefs,Moana,,,,,,,,,,,,,,,,,,,,
124,,17,2022-12-31,Waratahs,Reds,,,,,,,,,,,,,,,,,,,,
125,,17,2022-12-31,Brumbies,Drua,,,,,,,,,,,,,,,,,,,,
126,,17,2022-12-31,Highlanders,Crusaders,,,,,,,,,,,,,,,,,,,,
127,,17,2022-12-31,Rebels,Force,,,,,,,,,,,,,,,,,,,,
128,,17,2022-12-31,Blues,Hurricanes,,,,,,,,,,,,,,,,,,,,
129,,18,2022-12-31,Chiefs,Moana,,,,,,,,,,,,,,,,,,,,
130,,18,2022-12-31,Waratahs,Reds,,,,,,,,,,,,,,,,,,,,
131,,18,2022-12-31,Brumbies,Drua,,,,,,,,,,,,,,,,,,,,
132,,18,2022-12-31,Highlanders,Crusaders,,,,,,,,,,,,,,,,,,,,
133,,18,2022-12-31,Rebels,Force,,,,,,,,,,,,,,,,,,,,
134,,18,2022-12-31,Blues,Hurricanes,,,,,,,,,,,,,,,,,,,,
135,,19,2022-12-31,Chiefs,Moana,,,,,,,,,,,,,,,,,,,,
136,,19,2022-12-31,Waratahs,Reds,,,,,,,,,,,,,,,,,,,,
137,,19,2022-12-31,Brumbies,Drua,,,,,,,,,,,,,,,,,,,,
138,,19,2022-12-31,Highlanders,Crusaders,,,,,,,,,,,,,,,,,,,,
139,,19,2022-12-31,Rebels,Force,,,,,,,,,,,,,,,,,,,,
140,,19,2022-12-31,Blues,Hurricanes,,,,,,,,,,,,,,,,,,,,
141,,20,2022-12-31,Chiefs,Moana,,,,,,,,,,,,,,,,,,,,
142,,20,2022-12-31,Waratahs,Reds,,,,,,,,,,,,,,,,,,,,
143,,20,2022-12-31,Brumbies,Drua,,,,,,,,,,,,,,,,,,,,
144,,20,2022-12-31,Highlanders,Crusaders,,,,,,,,,,,,,,,,,,,,
145,,20,2022-12-31,Rebels,Force,,,,,,,,,,,,,,,,,,,,
146,,20,2022-12-31,Blues,Hurricanes,,,,,,,,,,,,,,,,,,,,
147,,21,2022-12-31,Chiefs,Moana,,,,,,,,,,,,,,,,,,,,
148,,21,2022-12-31,Waratahs,Reds,,,,,,,,,,,,,,,,,,,,
149,,21,2022-12-31,Brumbies,Drua,,,,,,,,,,,,,,,,,,,,
150,,21,2022-12-31,Highlanders,Crusaders,,,,,,,,,,,,,,,,,,,,
151,,21,2022-12-31,Rebels,Force,,,,,,,,,,,,,,,,,,,,
152,,21,2022-12-31,Blues,Hurricanes,,,,,,,,,,,,,,,,,,,,
