,Unnamed: 0,Week,Date,Home Team,Away Team,Spread,Opening Spread,inter_spread_1,inter_spread_2,Home Points,Away Points,clean_breaks_home,clean_breaks_away,home_turnovers_conceded,away_turnovers_conceded,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,Unnamed: 21,Unnamed: 22,Unnamed: 23,sin_bin,penalties_conceded,clean_breaks,Turnover
44,,3.0,2024-03-08,Waratahs,Highlanders,-1.5,-1.5,,,21.0,23.0,6.0,3.0,16.0,13.0,4.0,8.0,10.0,12.0,,,,,,0.0,-2.0,-3.0,7.0
45,,3.0,2024-03-09,Drua,Crusaders,7.5,7.5,,,20.0,10.0,10.0,6.0,17.0,20.0,8.0,5.0,12.0,6.0,,,,,,0.0,6.0,-4.0,-6.0
46,,3.0,2024-03-09,Brumbies,Force,-18.5,-18.5,,,22.0,19.0,4.0,7.0,17.0,12.0,3.0,5.0,4.0,16.0,,1.0,,,,-1.0,-12.0,3.0,7.0
47,,3.0,2024-03-09,Hurricanes,Blues,3.5,3.5,,,29.0,21.0,10.0,4.0,14.0,16.0,9.0,5.0,11.0,9.0,,,,,,0.0,2.0,-6.0,-6.0
48,,3.0,2024-03-09,Reds,Chiefs,10.5,10.5,,,25.0,19.0,5.0,5.0,17.0,14.0,8.0,6.0,5.0,10.0,,,,,,0.0,-5.0,0.0,1.0
49,,4.0,2024-03-15,Crusaders,Hurricanes,2.5,2.5,,,10.0,14.0,3.0,5.0,13.0,16.0,4.0,5.0,11.0,4.0,1.0,,,,,1.0,7.0,2.0,-2.0
50,,4.0,2023-03-18,Rebels,Reds,7.5,7.5,,,26.0,53.0,2.0,12.0,14.0,12.0,5.0,6.0,7.0,7.0,,,,,,0.0,0.0,10.0,3.0
51,,4.0,2023-03-18,Force,Moana,-5.5,-5.5,,,14.0,22.0,5.0,4.0,16.0,12.0,5.0,6.0,12.0,9.0,1.0,,,,,1.0,3.0,-1.0,5.0
52,,4.0,2023-03-18,Highlanders,Brumbies,1.5,1.5,,,21.0,27.0,6.0,3.0,15.0,13.0,7.0,4.0,11.0,8.0,,,,,,0.0,3.0,-3.0,-1.0
53,,4.0,2023-03-19,Chiefs,Drua,-22.5,-22.5,,,46.0,29.0,13.0,4.0,14.0,13.0,5.0,4.0,11.0,12.0,1.0,,,,,1.0,-1.0,-9.0,0.0
54,,4.0,2023-03-19,Waratahs,Blues,8.5,8.5,,,10.0,12.0,3.0,6.0,12.0,16.0,5.0,6.0,15.0,9.0,,,,,,0.0,6.0,3.0,-3.0
55,,5.0,2024-03-22,Hurricanes,Rebels,-18.5,-18.5,,,54.0,28.0,16.0,4.0,14.0,19.0,8.0,4.0,6.0,5.0,,,,,,0.0,1.0,-12.0,-9.0
56,,5.0,2023-03-24,Brumbies,Moana,-14.5,-14.5,,,60.0,21.0,9.0,4.0,13.0,9.0,5.0,3.0,8.0,11.0,1.0,,,,,1.0,-3.0,-5.0,2.0
57,,5.0,2023-03-25,Drua,Waratahs,-4.5,-4.5,,,39.0,36.0,8.0,7.0,14.0,10.0,4.0,4.0,14.0,10.0,2.0,1.0,,,,1.0,4.0,-1.0,4.0
58,,5.0,2023-03-25,Chiefs,Highlanders,-14.5,-14.5,,,28.0,21.0,9.0,7.0,15.0,23.0,9.0,6.0,11.0,7.0,1.0,2.0,,,,-1.0,4.0,-2.0,-11.0
59,,5.0,2023-03-25,Blues,Crusaders,-10.5,-9.5,,,26.0,6.0,11.0,2.0,20.0,12.0,5.0,6.0,13.0,12.0,1.0,2.0,,,,-1.0,1.0,-9.0,9.0
60,,5.0,2023-03-26,Force,Reds,11.5,11.5,,,40.0,31.0,5.0,9.0,9.0,17.0,8.0,7.0,7.0,6.0,,,,,,0.0,1.0,4.0,-9.0
61,,6.0,2024-03-29,Crusaders,Chiefs,4.5,7.5,,,37.0,26.0,10.0,9.0,18.0,14.0,4.0,8.0,5.0,8.0,,,,,,0.0,-3.0,-1.0,8.0
62,,6.0,2024-03-29,Waratahs,Rebels,-11.5,-10.5,,,21.0,27.0,6.0,6.0,18.0,18.0,6.0,7.0,18.0,4.0,1.0,,,,,1.0,14.0,0.0,1.0
63,,6.0,2024-03-30,Drua,Force,-10.5,-11.5,,,31.0,13.0,3.0,1.0,16.0,20.0,8.0,8.0,16.0,12.0,2.0,,,,,2.0,4.0,-2.0,-4.0
64,,6.0,2024-03-30,Moana,Blues,21.5,21.5,,,8.0,47.0,2.0,13.0,17.0,18.0,9.0,11.0,5.0,10.0,,,,,,0.0,-5.0,11.0,1.0
65,,6.0,2024-03-30,Highlanders,Hurricanes,8.5,10.5,,,12.0,47.0,6.0,11.0,19.0,19.0,7.0,5.0,9.0,15.0,1.0,,,,,1.0,-6.0,5.0,-2.0
66,,6.0,2024-03-30,Reds,Brumbies,-3.5,1.5,,,19.0,20.0,8.0,4.0,15.0,10.0,5.0,5.0,8.0,10.0,,1.0,,,,-1.0,-2.0,-4.0,5.0
67,,7.0,2024-04-05,Blues,Force,-22.5,-22.5,,,50.0,3.0,8.0,2.0,11.0,17.0,5.0,7.0,10.0,9.0,,,,,,0.0,1.0,-6.0,-4.0
68,,7.0,2024-04-05,Rebels,Drua,-3.5,1.5,,,41.0,20.0,9.0,3.0,20.0,16.0,7.0,3.0,5.0,15.0,,3.0,,,,-3.0,-10.0,-6.0,0.0
69,,7.0,2024-04-06,Chiefs,Moana,-26.5,-26.5,,,68.0,12.0,13.0,2.0,13.0,22.0,7.0,9.0,10.0,9.0,,,,,,0.0,1.0,-11.0,-7.0
70,,7.0,2024-04-06,Brumbies,Waratahs,-8.5,-8.5,,,40.0,16.0,7.0,3.0,14.0,17.0,5.0,9.0,8.0,9.0,,,,,,0.0,-1.0,-4.0,1.0
71,,8.0,2024-04-12,Waratahs,Crusaders,12.5,12.5,,,43.0,40.0,6.0,6.0,15.0,13.0,5.0,6.0,6.0,11.0,,1.0,,,,-1.0,-5.0,0.0,3.0
72,,8.0,2024-04-12,Moana,Reds,15.5,15.5,,,17.0,14.0,4.0,2.0,18.0,18.0,5.0,8.0,6.0,12.0,,2.0,,,,-2.0,-6.0,-2.0,3.0
73,,8.0,2024-04-13,Hurricanes,Chiefs,1.5,1.5,,,36.0,23.0,7.0,3.0,18.0,10.0,3.0,5.0,10.0,9.0,,1.0,,,,-1.0,1.0,-4.0,10.0
74,,8.0,2024-04-13,Rebels,Highlanders,2.5,2.5,,,47.0,31.0,8.0,3.0,10.0,11.0,4.0,6.0,14.0,8.0,,1.0,,,,-1.0,6.0,-5.0,1.0
75,,9.0,2024-04-19,Drua,Hurricanes,10.5,11.5,,,15.0,38.0,4.0,5.0,21.0,12.0,5.0,9.0,6.0,16.0,,3.0,,,,-3.0,-10.0,1.0,13.0
76,,9.0,2024-04-19,Reds,Highlanders,-6.5,-7.5,,,31.0,0.0,6.0,2.0,13.0,12.0,8.0,4.0,9.0,15.0,,,,,,0.0,-6.0,-4.0,-3.0
77,,9.0,2024-04-20,Blues,Brumbies,-10.5,-10.5,,,46.0,7.0,6.0,2.0,8.0,16.0,5.0,3.0,8.0,12.0,1.0,1.0,,,,0.0,-4.0,-4.0,-10.0
78,,9.0,2024-04-20,Force,Crusaders,13.5,15.5,,,37.0,15.0,4.0,5.0,6.0,13.0,7.0,4.0,11.0,15.0,1.0,,,,,1.0,-4.0,1.0,-10.0
79,,10.0,2024-04-26,Crusaders,Rebels,-10.5,-10.5,,,39.0,0.0,7.0,2.0,17.0,17.0,8.0,3.0,3.0,12.0,,,,,,0.0,-9.0,-5.0,-5.0
80,,10.0,2024-04-26,Waratahs,Chiefs,14.5,14.5,,,22.0,38.0,5.0,9.0,15.0,11.0,5.0,3.0,11.0,14.0,,2.0,,,,-2.0,-3.0,4.0,2.0
81,,10.0,2024-04-27,Drua,Moana,-12.5,-12.5,,,24.0,17.0,3.0,4.0,14.0,19.0,9.0,6.0,9.0,9.0,1.0,,,,,1.0,0.0,1.0,-8.0
82,,10.0,2024-04-27,Brumbies,Hurricanes,6.5,6.5,,,27.0,19.0,7.0,4.0,14.0,17.0,1.0,5.0,8.0,9.0,,,,,,0.0,-1.0,-3.0,1.0
83,,10.0,2024-04-27,Highlanders,Force,-7.5,-7.5,,,7.0,6.0,3.0,4.0,20.0,20.0,11.0,2.0,8.0,5.0,,,,,,0.0,3.0,1.0,-9.0
84,,10.0,2024-04-27,Reds,Blues,9.5,9.5,,,34.0,41.0,7.0,6.0,9.0,17.0,9.0,4.0,10.0,7.0,,1.0,,,,-1.0,3.0,-1.0,-13.0
85,,11.0,2024-05-03,Hurricanes,Waratahs,-20.5,-20.5,,,41.0,12.0,14.0,4.0,17.0,14.0,7.0,3.0,8.0,8.0,,,,,,0.0,0.0,-10.0,-1.0
86,,11.0,2024-05-03,Rebels,Blues,14.5,14.5,,,11.0,38.0,6.0,4.0,14.0,10.0,5.0,8.0,8.0,8.0,,1.0,,,,-1.0,0.0,-2.0,7.0
87,,11.0,2024-05-04,Moana,Highlanders,-2.5,-1.5,,,17.0,28.0,2.0,5.0,14.0,17.0,6.0,6.0,13.0,6.0,,,,,,0.0,7.0,3.0,-3.0
88,,11.0,2024-05-04,Crusaders,Reds,-9.5,-8.5,,,28.0,33.0,7.0,6.0,16.0,11.0,5.0,9.0,7.0,14.0,,,,,,0.0,-7.0,-1.0,9.0
89,,11.0,2024-05-04,Chiefs,Force,-23.5,-20.5,,,56.0,7.0,13.0,4.0,13.0,15.0,6.0,6.0,6.0,12.0,1.0,1.0,,,,0.0,-6.0,-9.0,-2.0
