,Week,Date,Home Team,Away Team,Spread,Opening Spread,Totals,home_win,away_win,inter_spread_1,inter_spread_2,inter_spread_3,Home Points,Away Points,clean_breaks_home,clean_breaks_away,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,penalties_conceded,Turnover,home_turnovers_conceded,away_turnovers_conceded
66,4.0,2023-11-10,Ulster,Munster,-3.5,-1.5,43.5,1.57,2.37,,,,21.0,14.0,9.0,1.0,7.0,8.0,10.0,12.0,,,-2,1,,
67,4.0,2023-11-10,Cardiff Blues,Bulls,6.5,8.5,51.5,2.75,1.44,,,,12.0,18.0,8.0,6.0,8.0,10.0,9.0,9.0,,,0,2,,
68,4.0,2023-11-11,Benetton,Stormers,-1.5,1.5,50.5,1.9,1.9,,,,20.0,17.0,3.0,7.0,6.0,5.0,9.0,7.0,,,2,-1,,
69,4.0,2023-11-11,Ospreys,Glasgow Warriors,1.5,6.5,49.5,2.1,1.72,,,,23.0,31.0,3.0,1.0,5.0,8.0,11.0,10.0,,,1,3,,
70,4.0,2023-11-11,Scarlets,Lions,-4.5,-8.5,51.5,1.53,2.5,,,,23.0,24.0,6.0,6.0,5.0,7.0,7.0,9.0,,,-2,2,,
71,4.0,2023-11-11,Edinburgh,Connacht,-5.5,-7.5,49.5,1.44,2.75,,,,25.0,22.0,10.0,4.0,7.0,6.0,6.0,7.0,,,-1,-1,,
72,4.0,2023-11-12,Dragons,Leinster,17.5,18.5,49.5,8.5,1.062,,,,10.0,33.0,1.0,9.0,7.0,5.0,14.0,9.0,,,5,-2,,
73,5.0,2023-11-17,Ulster,Lions,-14.5,-12.5,47.5,1.12,6.0,,,,24.0,17.0,3.0,3.0,7.0,6.0,6.0,7.0,,,-1,-1,,
74,5.0,2023-11-17,Zebre,Cardiff Blues,3.5,4.5,52.5,2.3,1.61,,,,22.0,22.0,2.0,8.0,7.0,5.0,8.0,11.0,,,-3,-2,,
75,5.0,2023-11-17,Edinburgh,Bulls,-3.5,-3.5,49.5,1.57,2.37,,,,31.0,23.0,7.0,3.0,4.0,2.0,13.0,11.0,,,2,-2,,
76,5.0,2023-11-18,Sharks,Connacht,-6.5,-8.5,52.5,1.4,3.0,-6.5,,,12.0,13.0,6.0,2.0,5.0,9.0,11.0,9.0,,,2,4,,
77,5.0,2023-11-18,Dragons,Ospreys,4.5,4.5,48.5,2.5,1.53,4.5,,,20.0,5.0,9.0,4.0,7.0,8.0,6.0,14.0,,,-8,1,,
78,5.0,2023-11-18,Munster,Stormers,-10.5,-9.5,44.5,1.22,4.33,-10.5,,,10.0,3.0,2.0,4.0,7.0,10.0,8.0,8.0,,,0,3,,
79,5.0,2023-11-18,Glasgow Warriors,Benetton,-11.5,-11.5,47.5,1.2,4.5,-11.5,,,26.0,12.0,12.0,4.0,10.0,8.0,12.0,5.0,,,7,-2,,
80,5.0,2023-11-18,Leinster,Scarlets,-32.5,-23.5,61.5,1.004,26.0,-32.5,,,54.0,5.0,12.0,1.0,9.0,8.0,10.0,11.0,,,-1,-1,,
81,6.0,2023-11-24,Cardiff Blues,Stormers,3.5,5.5,45.5,2.37,1.57,3.5,,,31.0,24.0,4.0,3.0,8.0,5.0,9.0,6.0,,,3,-3,,
82,6.0,2023-11-24,Edinburgh,Benetton,-9.5,-10.5,46.5,1.25,4.0,-9.5,,,22.0,24.0,6.0,3.0,9.0,6.0,10.0,11.0,,,-1,-3,,
83,6.0,2023-11-26,Ospreys,Scarlets,-5.5,-6.5,,1.44,2.75,-6.5,,,31.0,9.0,4.0,1.0,8.0,6.0,10.0,16.0,,,-6,-2,,
84,6.0,2023-11-25,Lions,Zebre,-18.5,-15.5,,,,-18.5,,,61.0,19.0,13.0,4.0,6.0,0.0,6.0,9.0,,,-3,-6,,
85,6.0,2023-11-25,Bulls,Connacht,-16.5,-13.5,57.5,1.11,6.5,-14.5,,,53.0,27.0,12.0,10.0,2.0,4.0,6.0,6.0,,,0,2,,
86,6.0,2023-11-25,Sharks,Dragons,-21.5,-17.5,48.5,1.04,9.0,-22.5,,,69.0,14.0,14.0,8.0,7.0,7.0,4.0,14.0,,,-10,0,,
87,6.0,2023-11-25,Leinster,Munster,-15.5,-12.5,43.5,1.1,7.0,-15.5,,,21.0,16.0,11.0,9.0,6.0,5.0,12.0,11.0,,,1,-1,,
88,6.0,2023-11-25,Glasgow Warriors,Ulster,-6.5,-6.5,45.5,1.36,3.2,-7.5,,,33.0,20.0,5.0,2.0,7.0,6.0,9.0,12.0,,,-3,-1,,
89,7.0,2023-12-01,Munster,Glasgow Warriors,-10.5,-10.5,,,,-10.5,,,40.0,29.0,5.0,0.0,7.0,5.0,11.0,11.0,,,0,-2,,
